པ,1376052,5.430007%
དང,732215,2.889376%
པར,586510,2.314413%
དེ,559951,2.209610%
བ,495810,1.956504%
ལ,484139,1.910450%
པའི,357815,1.411965%
མ,330601,1.304577%
ནི,330469,1.304056%
ཀྱི,322819,1.273868%
དག,319198,1.259580%
དུ,301905,1.191340%
ན,279204,1.101760%
པོ,252360,0.995832%
སེམས,234777,0.926448%
བར,226804,0.894986%
ཡང,223896,0.883511%
ནས,208723,0.823637%
མི,198703,0.784097%
སུ,193623,0.764051%
རྣམས,184175,0.726769%
ཏུ,176886,0.698006%
འདི,170995,0.674759%
ཏེ,170036,0.670975%
ལྡན,168550,0.665111%
ཉིད,166845,0.658383%
མེད,165846,0.654441%
རྣམ,165755,0.654082%
ཤེས,164210,0.647985%
བའི,163534,0.645318%
བྱ,162277,0.640357%
བཞིན,159894,0.630954%
ཡིན,153293,0.604906%
གང,144885,0.571727%
འགྱུར,140621,0.554901%
ཅད,135505,0.534713%
ཐམས,134816,0.531994%
བྱེད,134688,0.531489%
རབ,132077,0.521186%
ཆོས,128517,0.507138%
ཀྱིས,125692,0.495990%
ལས,124854,0.492683%
བྱང,124104,0.489724%
ཆེན,123588,0.487688%
གྱི,121960,0.481263%
ཆུབ,118862,0.469039%
སོ,118836,0.468936%
འདས,116254,0.458747%
བུ,112966,0.445772%
སྟེ,112550,0.444131%
ཞེས,111492,0.439956%
བཅོམ,109384,0.431638%
པས,108491,0.428114%
གི,102861,0.405897%
དཔའ,101866,0.401971%
གནས,98492,0.388657%
བདག,96008,0.378855%
ཅན,95446,0.376637%
ཀྱང,94607,0.373326%
རྒྱས,91399,0.360667%
དགེ,90746,0.358091%
སྟོང,87832,0.346592%
ལྟར,87424,0.344982%
དོ,83144,0.328093%
ལྟ,81948,0.323373%
སངས,80622,0.318141%
ཕྱིར,80105,0.316100%
ཡོངས,79908,0.315323%
གྱུར,78421,0.309455%
གིས,77558,0.306050%
གྱིས,74511,0.294026%
རྒྱལ,72739,0.287034%
རོ,69882,0.275760%
རོལ,68124,0.268823%
གཤེགས,66825,0.263697%
བྱས,66655,0.263026%
མྱི,65068,0.256763%
ཕ,64640,0.255074%
མྱེད,64616,0.254980%
ཕྱིན,64232,0.253464%
ཀུན,64083,0.252876%
མོ,62970,0.248484%
ཞིང,58102,0.229275%
སྤྱོད,57563,0.227148%
ཚེ,56283,0.222097%
གཉིས,54904,0.216655%
བྱའོ,54799,0.216241%
ཇི,53586,0.211454%
རང,52015,0.205255%
རྟེན,51400,0.202828%
གཞན,51067,0.201514%
འཁོར,50879,0.200772%
བོ,49062,0.193602%
མངོན,49011,0.193401%
ཡི,48829,0.192683%
ཅེས,48670,0.192056%
འཇིག,48424,0.191085%
ཅིང,47938,0.189167%
དེའི,47428,0.187155%
སློང,46593,0.183860%
རྫོགས,45597,0.179929%
མཐོང,45494,0.179523%
ངོ,44527,0.175707%
ལྷ,44521,0.175683%
སྐྱེ,43731,0.172566%
འཛིན,43234,0.170605%
འམ,42408,0.167345%
རྗེ,42278,0.166832%
རྡོ,41579,0.164074%
ནོ,41488,0.163715%
མཚན,41064,0.162042%
ཤིང,40961,0.161635%
དགའ,40871,0.161280%
གཅིག,40838,0.161150%
ས,40416,0.159485%
པའོ,40103,0.158250%
ཅིག,39825,0.157152%
ཡོད,39534,0.156004%
དབང,39534,0.156004%
དེས,39161,0.154532%
བས,39002,0.153905%
པོའི,38477,0.151833%
ཁམས,38440,0.151687%
ལུས,38386,0.151474%
ཡིད,38145,0.150523%
ལགས,38006,0.149975%
རིགས,37590,0.148333%
ཚུལ,37285,0.147129%
ལོ,37237,0.146940%
ཕྱག,37229,0.146908%
སྐད,37083,0.146332%
ཏོ,36771,0.145101%
ར,36404,0.143653%
གསུམ,36300,0.143243%
བྱུང,35565,0.140342%
ཚོགས,35378,0.139604%
སྨྲས,35117,0.138574%
འདོད,34703,0.136941%
འབྱོར,34484,0.136077%
འབྱུང,33524,0.132288%
ཞིག,33510,0.132233%
སྦྱིན,33414,0.131854%
གཟུགས,32709,0.129072%
གསོལ,32450,0.128050%
བསྟན,32347,0.127644%
མཆོག,32343,0.127628%
རྒྱ,32272,0.127348%
དམ,31882,0.125809%
སྐྱེས,31666,0.124956%
འདུ,31423,0.123998%
བཅུ,31043,0.122498%
འདུས,30879,0.121851%
ཞེ,30816,0.121602%
བཞི,30641,0.120912%
སྟོན,30538,0.120505%
དོན,30385,0.119902%
ལམ,30304,0.119582%
རྗེས,30176,0.119077%
ག,30126,0.118880%
འགྲོ,30115,0.118836%
བདེ,29608,0.116835%
ཐོས,29243,0.115395%
བསམ,29138,0.114981%
ཅི,28647,0.113043%
རིག,27677,0.109216%
ཁྱོད,27641,0.109074%
ལག,27623,0.109002%
མཆིས,27139,0.107093%
ཕྱོགས,27015,0.106603%
ཤིན,26828,0.105865%
འོད,26739,0.105514%
མེ,26608,0.104997%
སྙིང,26543,0.104741%
བཀའ,26468,0.104445%
ཡེ,26452,0.104382%
དུས,26405,0.104196%
སྩལ,26382,0.104105%
ཆེ,26334,0.103916%
ཁ,25797,0.101797%
རྩ,25728,0.101525%
ཆགས,25415,0.100290%
མཁྱེན,25170,0.099323%
ནམ,24934,0.098391%
ཡ,24881,0.098182%
མའི,24362,0.096134%
བརྗོད,24247,0.095681%
འཇུག,24155,0.095317%
དངོས,24090,0.095061%
ཀ,23895,0.094291%
བླ,23784,0.093853%
ངན,23758,0.093751%
འཚལ,23470,0.092614%
ཐོབ,23444,0.092512%
རེག,23171,0.091435%
ནང,23008,0.090791%
གོ,22931,0.090487%
མཐའ,22867,0.090235%
རྟག,22810,0.090010%
བྱིན,22604,0.089197%
རི,22578,0.089095%
ཉེ,22563,0.089035%
སྙམ,22550,0.088984%
ལྔ,22440,0.088550%
ཧཱ,22287,0.087946%
འཕགས,22163,0.087457%
ཚིག,22155,0.087425%
སྣ,21936,0.086561%
སྣང,21863,0.086273%
སྔགས,21753,0.085839%
བརྒྱད,21697,0.085618%
སྡུག,21560,0.085077%
བཅས,21528,0.084951%
རྟོག,21136,0.083404%
ཏ,21106,0.083286%
ཐ,20865,0.082335%
སོགས,20698,0.081676%
ཤིག,20534,0.081029%
མཆོད,20508,0.080926%
ཏིང,20278,0.080019%
བརྒྱ,20231,0.079833%
ལེགས,20086,0.079261%
མང,20000,0.078922%
རིན,19962,0.078772%
ཚད,19767,0.078002%
མཛད,19684,0.077675%
ཧཱུྃ,19643,0.077513%
གལ,19471,0.076834%
དྲུག,19313,0.076211%
མཉམ,19302,0.076167%
ཞུགས,19099,0.075366%
དད,18722,0.073878%
དམྱིགས,18453,0.072817%
ཚོར,18351,0.072414%
ཅིའི,18319,0.072288%
པོས,18165,0.071680%
ངེ,18072,0.071313%
ཡུལ,18071,0.071310%
ཨོྃ,17940,0.070793%
ཙམ,17600,0.069451%
ཕྱི,17566,0.069317%
སོང,17522,0.069143%
རྒྱུ,17487,0.069005%
ཁྱིམ,17389,0.068618%
སྟོབས,17365,0.068524%
དཔལ,17299,0.068263%
དམིགས,17286,0.068212%
འབྲས,17226,0.067975%
ད,17194,0.067849%
སྒྲ,17146,0.067659%
ཤ,16995,0.067064%
ཞི,16873,0.066582%
བྲལ,16800,0.066294%
རེ,16756,0.066120%
བསྐྱེད,16624,0.065600%
གསུངས,16587,0.065454%
ཉི,16521,0.065193%
ལྷའི,16465,0.064972%
དྲི,16411,0.064759%
དཀྱིལ,16047,0.063323%
སྦྱོར,16042,0.063303%
ཆུ,16010,0.063177%
མར,15987,0.063086%
སུམ,15916,0.062806%
བགྱི,15902,0.062751%
ང,15872,0.062632%
དེར,15726,0.062056%
ཕྲག,15673,0.061847%
བརྩོན,15552,0.061369%
པོར,15443,0.060939%
བསྔལ,15419,0.060845%
སྔོན,15403,0.060781%
སྙོམས,15401,0.060774%
ཨ,15377,0.060679%
ཡིས,15247,0.060166%
བྱེ,15242,0.060146%
འདུན,15011,0.059235%
བཤད,14994,0.059167%
མཁས,14982,0.059120%
དགྲ,14952,0.059002%
བཟང,14897,0.058785%
ཟད,14889,0.058753%
བུའི,14839,0.058556%
གྲངས,14719,0.058082%
ཏོག,14654,0.057826%
གྲུབ,14606,0.057636%
འདུག,14533,0.057348%
འཇིགས,14468,0.057092%
ཉན,14426,0.056926%
རུ,14317,0.056496%
སྒོ,14262,0.056279%
འཕྲུལ,14175,0.055936%
མཁའ,14174,0.055932%
སྲིད,14129,0.055754%
ཡོན,14115,0.055699%
སྐུ,14022,0.055332%
མིག,14006,0.055269%
གཏན,13912,0.054898%
གསང,13812,0.054503%
བདུན,13787,0.054405%
མྱ,13753,0.054270%
ཏན,13696,0.054045%
ཁྲིམས,13626,0.053769%
ཉོན,13559,0.053505%
བགྱིད,13500,0.053272%
བཙུན,13434,0.053012%
གོས,13357,0.052708%
ཟླ,13332,0.052609%
ལན,13323,0.052574%
ངེས,13317,0.052550%
སྭཱ,13156,0.051915%
འོང,12864,0.050762%
བསོད,12701,0.050119%
རྐྱེན,12559,0.049559%
ནོར,12541,0.049488%
དྲན,12520,0.049405%
སླད,12495,0.049306%
གནོད,12494,0.049302%
ཐར,12374,0.048829%
ཅག,12344,0.048710%
དཔའི,12336,0.048679%
སྙེད,12200,0.048142%
བཟོད,12009,0.047388%
པད,11967,0.047223%
ཐེག,11898,0.046950%
ཐབས,11894,0.046935%
སྨྲ,11728,0.046280%
ཤཱ,11709,0.046205%
བློ,11671,0.046055%
རུང,11668,0.046043%
ཧ,11542,0.045546%
སམ,11511,0.045423%
ཤི,11442,0.045151%
བདུད,11411,0.045029%
བཞུགས,11404,0.045001%
ལྟུང,11379,0.044902%
བཛྲ,11359,0.044823%
མོངས,11338,0.044741%
འདྲ,11330,0.044709%
ཁོ,11329,0.044705%
ཟེར,11313,0.044642%
མུ,11275,0.044492%
ཆུང,11262,0.044441%
ཡན,11158,0.044030%
སློབ,11099,0.043798%
དཔག,11041,0.043569%
སྨོན,11033,0.043537%
ཉེས,11020,0.043486%
གེ,10735,0.042361%
ཁྱབ,10692,0.042191%
ཕཊ,10666,0.042089%
ལྷག,10650,0.042026%
མོས,10463,0.041288%
སྦྱར,10449,0.041233%
བྲམ,10442,0.041205%
མིང,10428,0.041150%
ཚངས,10387,0.040988%
བསྙེན,10384,0.040976%
དྷ,10355,0.040862%
རྟོགས,10230,0.040368%
བའོ,10150,0.040053%
ཕན,10135,0.039993%
ཐུགས,10059,0.039694%
རིང,10010,0.039500%
ཆ,9973,0.039354%
གྲོང,9890,0.039027%
ལེན,9879,0.038983%
བསྒོམ,9833,0.038802%
འཇམ,9792,0.038640%
མཐར,9733,0.038407%
འོངས,9678,0.038190%
གྲོལ,9662,0.038127%
ནམས,9615,0.037942%
བི,9605,0.037902%
སྨིན,9576,0.037788%
ཟས,9482,0.037417%
བདེན,9477,0.037397%
བསྒྲུབ,9427,0.037200%
འདིར,9390,0.037054%
ཁང,9348,0.036888%
སོར,9341,0.036860%
དབྱིངས,9317,0.036766%
ཕུང,9313,0.036750%
ནུས,9292,0.036667%
རྙེད,9291,0.036663%
འགྲུས,9241,0.036466%
ཟག,9226,0.036407%
རྐང,9164,0.036162%
མདོ,9138,0.036059%
ཟ,9137,0.036055%
སྡེ,9102,0.035917%
མཚོ,9096,0.035894%
ལོག,9065,0.035771%
རྣལ,9046,0.035696%
ཆོ,9037,0.035661%
སྤྱད,8910,0.035160%
བསྐལ,8910,0.035160%
སྲོག,8892,0.035089%
རིམ,8876,0.035025%
ཏི,8874,0.035017%
རྣ,8868,0.034994%
གཟུངས,8790,0.034686%
ཉམས,8773,0.034619%
ཡས,8757,0.034556%
སྡིག,8722,0.034418%
བཟུང,8699,0.034327%
རླུང,8573,0.033830%
སྤངས,8569,0.033814%
རིའི,8568,0.033810%
ཁྱེར,8557,0.033767%
གསལ,8554,0.033755%
བཅད,8508,0.033573%
སྦྱོང,8504,0.033557%
བུར,8502,0.033550%
སྤྱན,8430,0.033265%
གཞི,8370,0.033029%
བརྟན,8357,0.032977%
རྒྱུད,8332,0.032879%
མོའི,8328,0.032863%
ནད,8317,0.032820%
བཟླས,8269,0.032630%
ཆད,8183,0.032291%
རྗེའི,8170,0.032239%
གཞོན,8143,0.032133%
བུད,8117,0.032030%
